true_label,predicted_label,count
calendar,calendar_update,8
redeem_rewards,rewards_balance,7
improve_credit_score,credit_score,6
food_last,expiration_date,5
pto_request,pto_request_status,5
ingredients_list,recipe,5
todo_list,todo_list_update,4
shopping_list,shopping_list_update,4
transactions,spending_history,4
shopping_list,todo_list,4
todo_list_update,todo_list,4
distance,directions,3
pin_change,change_ai_name,3
replacement_card_duration,damaged_card,3
reminder_update,make_call,3
replacement_card_duration,new_card,3
payday,last_maintenance,3
reminder,reminder_update,3
recipe,cook_time,3
play_music,smart_home,3
