threshold,coverage,selective_accuracy,oos_far
0.0,1.0,0.9235555555555556,1.0
0.01,1.0,0.9235555555555556,1.0
0.02,1.0,0.9235555555555556,0.998
0.03,0.9995555555555555,0.9239662072032014,0.978
0.04,0.9988888888888889,0.9245828698553948,0.921
0.05,0.9971111111111111,0.9257856028526855,0.857
0.06,0.9951111111111111,0.927422956677088,0.783
0.07,0.9911111111111112,0.9307174887892377,0.723
0.08,0.9893333333333333,0.9321653189577718,0.669
0.09,0.9871111111111112,0.9326879783881135,0.62
0.1,0.9855555555555555,0.9337091319052988,0.573
0.11,0.984,0.9345076784101174,0.532
0.12,0.982,0.9355057705363204,0.496
0.13,0.9802222222222222,0.9362956245749263,0.454
0.14,0.9782222222222222,0.9375283961835529,0.427
0.15,0.9762222222222222,0.9378556794900978,0.402
0.16,0.9724444444444444,0.9387568555758684,0.377
0.17,0.9702222222222222,0.9395327530920752,0.351
0.18,0.9668888888888889,0.9413927832682142,0.331
0.19,0.9648888888888889,0.9421925380009213,0.326
0.2,0.962,0.9429429429429429,0.313
0.21,0.9593333333333334,0.9441741950428538,0.289
0.22,0.9577777777777777,0.9452436194895592,0.271
0.23,0.9546666666666667,0.9466945996275605,0.26
0.24,0.952,0.9479458450046685,0.242
0.25,0.9495555555555556,0.9482798970278493,0.234
0.26,0.9471111111111111,0.9490849366494604,0.217
0.27,0.9444444444444444,0.9505882352941176,0.206
0.28,0.9422222222222222,0.9514150943396227,0.194
0.29,0.9406666666666667,0.9518072289156626,0.188
0.3,0.9368888888888889,0.9537476280834914,0.181
0.31,0.9355555555555556,0.9541567695961995,0.174
0.32,0.932,0.9558893657606103,0.169
0.33,0.9286666666666666,0.9566882029193587,0.165
0.34,0.9266666666666666,0.9570743405275779,0.16
0.35000000000000003,0.9237777777777778,0.9571806591291797,0.154
0.36,0.9224444444444444,0.9571187665622741,0.152
0.37,0.9191111111111111,0.9584139264990329,0.15
0.38,0.916,0.9594856865599224,0.146
0.39,0.914,0.9598832968636032,0.142
0.4,0.9108888888888889,0.9607221273481337,0.138
0.41000000000000003,0.9082222222222223,0.9613408367996085,0.135
0.42,0.9037777777777778,0.9626260142611262,0.131
0.43,0.9006666666666666,0.9629903774981495,0.126
0.44,0.8968888888888888,0.9645688800792864,0.119
0.45,0.8933333333333333,0.9664179104477612,0.116
0.46,0.8908888888888888,0.9683212771264654,0.113
0.47000000000000003,0.888,0.9684684684684685,0.106
0.48,0.8831111111111111,0.9698037242073477,0.105
0.49,0.8791111111111111,0.9716885743174924,0.1
0.5,0.876,0.971841704718417,0.098
0.51,0.8713333333333333,0.973221117061974,0.096
0.52,0.8688888888888889,0.9736572890025575,0.095
0.53,0.8637777777777778,0.9742732184203756,0.093
0.54,0.8611111111111112,0.9749677419354839,0.091
0.55,0.8564444444444445,0.9753502854177478,0.089
0.56,0.8511111111111112,0.9757180156657963,0.087
0.5700000000000001,0.8451111111111111,0.9768603733894294,0.078
0.58,0.84,0.978042328042328,0.077
0.59,0.8366666666666667,0.9782204515272245,0.074
0.6,0.8317777777777777,0.9794282660967139,0.071
0.61,0.8293333333333334,0.979903536977492,0.065
0.62,0.8251111111111111,0.9811473202262322,0.061
0.63,0.8197777777777778,0.9812957441040933,0.058
0.64,0.8166666666666667,0.9817687074829932,0.057
0.65,0.8133333333333334,0.9819672131147541,0.055
0.66,0.8086666666666666,0.9826875515251443,0.055
0.67,0.8026666666666666,0.9833887043189369,0.053
0.68,0.7975555555555556,0.9832822513234885,0.051
0.6900000000000001,0.7928888888888889,0.984304932735426,0.05
0.7000000000000001,0.788,0.9853355893965031,0.048
0.71,0.782,0.9860755896561523,0.045
0.72,0.7777777777777778,0.986,0.043
0.73,0.7715555555555556,0.9867511520737328,0.043
0.74,0.7662222222222222,0.9866589327146171,0.041
0.75,0.7584444444444445,0.9874011133899795,0.039
0.76,0.7535555555555555,0.9873193748156885,0.035
0.77,0.748,0.9875222816399287,0.035
0.78,0.7413333333333333,0.9877098321342925,0.033
0.79,0.7357777777777778,0.9876170341286621,0.032
0.8,0.7273333333333334,0.9883898564008555,0.031
0.81,0.7175555555555555,0.9888510374729018,0.031
0.8200000000000001,0.7024444444444444,0.9901929769060424,0.03
0.8300000000000001,0.6937777777777778,0.9903907751441384,0.026
0.84,0.6824444444444444,0.9905568218821231,0.025
0.85,0.6728888888888889,0.9910832232496698,0.023
0.86,0.6606666666666666,0.9926000672721157,0.022
0.87,0.6491111111111111,0.9928106812735364,0.019
0.88,0.632,0.9929676511954993,0.019
0.89,0.6168888888888889,0.9931556195965417,0.019
0.9,0.6006666666666667,0.9933407325194229,0.019
0.91,0.5788888888888889,0.9930902111324377,0.016
0.92,0.5537777777777778,0.9931781701444623,0.016
0.93,0.5248888888888888,0.9944961896697714,0.013
0.9400000000000001,0.496,0.9946236559139785,0.013
0.9500000000000001,0.4673333333333333,0.9947693770803614,0.012
0.96,0.42377777777777775,0.995280545359203,0.01
0.97,0.3711111111111111,0.9964071856287425,0.008
0.98,0.2982222222222222,0.9985096870342772,0.007
0.99,0.2028888888888889,1.0,0.004
1.0,0.0,,0.0
